auth.agree_with;Es gelten unsere Allgemeinen Geschäftsbedingungen. Unsere Datenschutzerklärung finden sie hier.;I agree with the terms of Use & Provacy Policy;Concordo com os termos da Política de Uso e Privacidade
auth.already_have_an_account;Sie haben bereits ein Konto?;Already have an account?;Já tem uma conta?
auth.change_password;Passwort ändern;change password;Alterar Senha
auth.check_your_email;Check deine E-Mails;Check your email;Verifique seu e-mail
auth.continue_apple;Weiter mit Apple;Continue with Apple;Continuar com Apple
auth.continue_google;Weiter mit Google;Continue with Google;Continuar com Google
auth.current_password;Aktuelles Passwort;Current password;Senha atual
auth.delete_my_account;Meinen Account löschen;Delete my account;Apagar a minha conta
auth.delete_your_account_description;Sie werden all Ihren Fortschritt und Ihre Daten verlieren.;You will lose all your progress and data.;Você perderá todo o seu progresso e dados.
auth.delete_your_account_question;Konto löschen?;Delete your account;Excluir sua conta
auth.delete_your_account;Konto löschen;Delete your account?;Excluir sua conta?
auth.deleted_account;Dein Konto wurde gelöscht;Your account has been deleted;A sua conta foi deletada
auth.disabled_account;Dein Konto wurde deaktiviert, bitte versuche es zu einem späteren Zeitpunkt erneut.;Your account has been disabled, please try again later;A sua conta foi desativada, tente novamente mais tarde
auth.dont_have_an_acount;Sie haben noch kein Konto?;Dont have an account?;Não tem uma conta?
auth.email_is_already_in_use;Die eingegebene Adresse ist bereits registriert;The email address is already in use by another account;O endereço de e-mail já está sendo utilizado por outra conta
auth.email;E-Mail;E-Mail;e-mail
auth.enter_current_password;aktuelles Passwort eingeben;enter current password;Inserir senha atual
auth.enter_email;Email eingeben;Enter Email;Inserir E-mail
auth.enter_new_password;neues Passwort eingeben;enter new password;Inserir nova senha
auth.enter_password;Passwort eingeben;Enter Password;Inserir senha
auth.enter_your_email_to_get_the_reset_link;Geben Sie Ihre E-Mail-Adresse ein, um den Link zum Zurücksetzen zu erhalten;Enter your email to get the reset link;Digite seu e-mail para obter o link de redefinição
auth.field_is_required;Bitte Felder ausfüllen;Field is required;O Campo Loja é obrigatório
auth.forgot_password;Passwort vergessen?;Forgot password?;Esqueceu sua senha?
auth.incorrect_email_or_password;Email oder Passwort ungültig;Incorrect email or password;E-mail ou palavra-chave incorretos
auth.invalid_age;ungültiges Alter;invalid age;Idade inválida
auth.invalid_email_address;ungültige Email Adresse;Invalid email address;Endereço de e-mail inválido
auth.invalid_password;falsches Passwort;Invalid password;Senha inválida
auth.login;Einloggen;Log In;Iniciar Sessão
auth.logout;ausloggen;Log Out;Sair
auth.new_assword;Neues Passwort;New password;Nova senha
auth.or;Oder;Or;Ou
auth.password_must_contain_lowercase;Passwort muss Großbuchstaben, Kleinbuchstaben, Nummern, Sonderzeichen (#,$,@,!,_,%,&,*,?) beinhalten und mind. aus 8 Stellen umfassen.;Password must contain lowercase, uppercase, number, special character (#,$,@,!,_,%,&,*,?) and at least 8 characters in length;A palavra-chave deve conter letras minúsculas, maiúsculas, números, caracteres especiais (#,$,@,!,_,%,&,*,?) e pelo menos 8 caracteres
auth.password;Passwort;Password;Senha
auth.repeat_new_password;neues Passwort wiederholen;repeat new password;Repetir nova senha
auth.repeat_password;Passwort wiederholen;Repeat Password;Repetir Senha
auth.send_link;Link senden;Send link;Enviar Link
auth.signup;Anmeldung;Sign Up;Inscreva-se
auth.something_went_wrong;uups da ist wohl etas falsch gelaufen;Something went wrong;Algo deu errado
auth.terms_of_policy;Unsere Datenschutzerklärung finden sie hier;Terms of Use & Provacy Policy;Termos da Política de Uso e Privacidade
auth.user_not_found;Benutzername nicht gefunden;User not found;Usuário não encontrado
auth.username;Benutzer-Name;Username;Nome do usuário
books.books;Bücher;Books;Livros
books.description;Beschreibung;Description;Descrição
books.recommended;empfohlen für dich;recommended for you;Recomendado para você
books.see_more;Mehr entdecken;See more;Ver mais
books.title;Literatur;literature;Literatura
categories.categories;Kategorie;categories;Categorias
categories.favourites;Favoriten;favourites;Favoritos
categories.lockPopupText;Um die nächste Stufe freizuschalten, müssen Sie die Fragen und Herausforderungen im aktuellen Schritt vollständig beantworten und beherrschen. Dieser Ansatz (4 Schritte zur Liebe) ist so konzipiert, dass Sie nicht vorzeitig weiterkommen, damit Sie den maximalen therapeutischen Effekt aus jeder Stufe ziehen können.;In order to unlock the next stage, you need to fully answer and master the questions and challenges in the current step. This approach (4-Steps to Love) is designed to ensure you don’t move forward prematurely, so you can get the maximum therapeutic effect from each stage.;Para desbloquear a próxima etapa, você precisa responder e dominar completamente as perguntas e desafios no passo atual. Esta abordagem (4 Passos para o Amor) é projetada para garantir que você não avance prematuramente, para que possa obter o máximo efeito terapêutico de cada estágio.
categories.lockPopupTitle;Tut mir leid, die Kategorie ist gesperrt.;Sorry, the category is locked;Desculpe, a categoria está bloqueada.
challenge.favourite_Challenges;Favourite Challenges;Favourite Challenges;Favourite Challenges
challenge.group_info_title;Info;Info;Info
challenge.group_instructions_title;Anweisungen;Instructions;Instruções
challenge.hop_to_the_challenges;Spring zu den Herausforderungen;Hop to the Challenges;Pule para os Desafios
challenge.lockedPopupText;Um die nächste Stufe freizuschalten, müssen Sie die Fragen und Herausforderungen des aktuellen Schrittes vollständig beantworten und beherrschen. Dieser Ansatz (4 Schritte zur Liebe) ist so konzipiert, dass Sie nicht vorzeitig weitergehen, damit Sie den maximalen therapeutischen Effekt aus jeder Stufe ziehen können.;In order to unlock the next stage, you need to fully answer and master the questions and challenges in the current step. This approach (4-Steps to Love) is designed to ensure you don’t move forward prematurely, so you can get the maximum therapeutic effect from each stage.;Para desbloquear a próxima etapa, você precisa responder e dominar completamente as perguntas e desafios do passo atual. Esta abordagem (4 Passos para o Amor) é projetada para garantir que você não avance prematuramente, para que possa obter o máximo efeito terapêutico de cada estágio.
challenge.lockedPopupTitle;Entschuldigung, diese Herausforderungen sind noch gesperrt.;Sorry, these challenges are still locked;Desculpe, estes desafios ainda estão bloqueados.
challenge.specialChallengeTitle;Sonderangebote;Specials;Promoções
challenge.tab_core;Kern;Core;Núcleo
challenge.tab_special;Spezial;Special;Especial
challenge.title;Challenges;Challenges;Desafios
common._each_session;*Jede Sitzung schliesst mit einer Challenge ab, betrachtet Sie als eine Art Hausaufgabe oder als ein neues Werkzeug, dass ihr in Zukunft benutzen könnt.;*Each session concludes with a challenge, think of it as a homework assignment or a new tool you can use in the future.;*Cada sessão termina com um desafio, pense nele como uma tarefa de casa ou uma nova ferramenta que você poderá usar no futuro.
common.a_lot;Sehr viel;A lot;Muito
common.about_the_app;Über die App;About the app;Sobre o aplicativo
common.acing_this_next_question;Gut gemeistert! Nächste Frage wartet schon;You’re acing this! Next question awaits;Você está ganhando esta! A próxima pergunta o aguarda
common.add_categories;Kategorie hinzufügen;add categories;Adicionar Categoria
common.add_category;Kategorie hinzufügen;add category;Adicionar categoria
common.age;Alter;Age;Idade
common.all_in_one;All in one;all in one;Tudo em um
common.amazing_do_this;Cool, legen wir los;Amazing, lets do it;Incrível, vamos lá
common.any_proposition;Mit Vorschlägen oder echtem Feedback können wir das Erlebnis für Euch noch besser machen;Any propositions or your genuine feedback will allow us to make the experience even better for you;Com sugestões ou feedback real, podemos tornar a experiência ainda melhor para vocês.
common.appreciation;Wertschätzung;appreciation;Admiração
common.are_you_sure_to_delete_account;Sind Sie sicher, dass Sie Ihr Konto dauerhaft löschen möchten?;Are you sure, that you want to permanently erase your Account? ;Tem certeza de que deseja apagar permanentemente sua conta?
common.basic;Basic;Basic;Básico
common.begin_session;Sitzung Beginnen;Begin Session;Iniciar sessão
common.buy_now;Jetzt kaufen;buy now;Comprar agora
common.cancel;abbrechen;Cancel;Cancelar
common.category_1;Kategorie;category 1;Categoria 1
common.challenge_background;Hintergund zur Challenge;Challenge background;Contexto do desafio
common.challenge;Challenge;Challenge;Desafio
common.collapse;Einklappen;Collapse;Colapso
common.communication_and_resolution;Kommunikation & Konfliktbewältigung;Communication & Conflict resolution;Comunicação e resolução de conflitos
common.confirm;Bitte bestätigen;confirm;Confirmar
common.continue_where_you_left;Weiterspielen, wo wir aufgehört haben;Continue where you left off;Continue de onde você parou
common.continue;weiter;continue;Continuar
common.create_new_category;Neue Kategorie hinzufügen;create a new category;Criar uma nova categoria
common.create_safe_attachment;stabilere Bindung aufbauen;Create safe attachment;Criar ligação segura
common.deep;Deep;Deep;Profundo
common.delete;Löschen;Delete;Deletar
common.did_you_find_question;Fandet Ihr die Fragen relevant für Eure Beziehung? ;Did you find the Questions relevant to your relationship?;Acharam as perguntas relevantes para o relacionamento de vocês?
common.difficult;Schwierig;Difficult;Difíceis
common.doing_great_proceed;Ihr macht das großartig! Weitermachen;You’re doing great! Proceed;Você está indo muito bem! Prossiga
common.dont_show_again_message;Diese Nachricht nicht noch einmal anzeigen;Dont show this message again;Não mostrar esta mensagem novamente
common.dont_show_again;Nicht mehr zeigen;Don’t Show Again;Não mostrar de novo
common.early_bird;early Bird - 30% Rabatt;early Bird - 30% off;Early Bird - 30% de desconto
common.easy;Leicht;Easy;Fácil
common.enter_category_title;Name für Kategorie eingeben;enter a category title;Insira um título de categoria
common.enter_email_to_reset;Geben Sie Ihre E-Mail-Adresse ein, um das Passwort zurückzusetzen;Enter your email to reset password.;Insira seu e-mail para redefinir sua senha
common.enter_your_data;bitte gib deine Daten ein;Enter your data;Insira os seus dados
common.explore_more;Wollt ihr mehr tun?;Want to explore more?;Quer fazer mais?
common.fantastic;Fantastisch!;Fantastic!;Fantástico!
common.finished_1_5;Ihr habt Eure 1. von 5 Sitzungen im Level Basic abgeschlossen;You’ve finished your 1st of 5 sessions in the Basic level;Vocês concluíram a primeira das 5 sessões do nível Básico.
common.first_start;Start;First Start;Primeiro início
common.get_full_access;Holen Sie sich jetzt den vollen Zugang und fangen sie bereits heute an ihr Beziehung zu verbessern.;Get full access now and improve your realtionship starting from today.;Obtenha acesso total agora e melhore seu relacionamento a partir de hoje.
common.get_the_annual_plan;Holen sie sich den jährlichen Zahlungsplan und bekommen sie 12 Monate für den Preis von 10.;Get the annual payment plan and get 12 months for the price of 10.;Adquira o plano de pagamento anual e pague somente por 10 meses!
common.go_back;zurück;Go back;Voltar
common.got_it;Habe es;Got it;Entendi
common.hated_it;Wir haben es gehasst;Hated it;Odiei
common.hot;Hot;Hot;Quente
common.how_are_we_today;Wie geht es uns heute?;How are we today?;Como estamos hoje?
common.how_difficult_would_you_rate;Wie schwierig würdet Ihr die Fragen in dieser Sitzung einstufen?;How difficult would you rate the Questions in this session?;Qual o grau de dificuldade que vocês classificariam para as perguntas desta sessão?
common.how_much_do_you_thing_challenge;Wie sehr glaubt Ihr, dass diese Challenge Euch in Zukunft helfen wird?;How much do you think this Challenge will help you in future?;O quanto vocês acham que esse desafio ajudará vocês no futuro?
common.how_much_enjoy_level;Wie sehr hat Euch das gesamte Level gefallen?;How much did you enjoy the whole Level?;O quanto vocês gostaram do nível inteiro?
common.how_much_enjoy_quadrant;Wie sehr hat Euch der gesamte Quadrant gefallen?;How much did you enjoy the whole Quadrant?;O quanto vocês gostaram de todo o Quadrante?
common.how_much_enjoy_session;Wie sehr hat Euch die gesamte Sitzung gefallen?;How much did you enjoy the whole Session?;O quanto vocês gostaram da sessão inteira?
common.intimacy_level;Intimitäts-Level;Intimacy level;Nível de intimidade
common.intimate;Intim ;Intimate;Íntimo
common.lets_dive_into_session;Lasst und gleich in Eure erste Sitzung eintauchen.;Let’s dive into your first session;Vamos nos aprofundar em sua primeira sessão
common.lets_do_this_challenge;Auf geht's zu dieser Herausforderung;Let’s do this challenge;Vamos fazer esse desafio
common.lets_do_this;Los geht’s!;Let’s do this;Vamos fazer isso
common.lets_start;Lass loslegen;Let’s Start;Vamos começar
common.light_mode;heller Modus;Light mode;Modo de luz
common.loading;laden;loading;carregando
common.long_question_1;Von 10 (ich fühle mich großartig) bis 1 (lass mich in Ruhe). Für alles unterhalb von 7: Gönn dir eine Pause und verschiebe die Sitzung auf einen anderen Tag. PS: Schalte dein Handy in den Flugmodus, um Ablenkungen zu vermeiden.;From 10 (I feel great) to 1 (leave me alone). For anything below 7: give yourself a break and postpone the session to another day. PS: Switch your cell phone to airplane mode to avoid distractions.;De 10 (estou me sentindo ótimo) a 1 (deixe-me em paz). Para qualquer coisa abaixo de 7: dê um tempo a si mesmo e adie a sessão para outro dia. PS: Coloque seu celular no modo avião para evitar distrações.
common.long_question_2;Hinweis:Wechselt euch beim Stellen von Fragen an euren Partner ab und hört zu, ohne zu unterbrechen. Wenn dein Partner/in eine Frage nicht beantworten möchte, zieht einfach eine andere Karte. Kein Urteilen oder Kritisieren, hört genau zu und seid unterstützend und zeigt Empathie. Wechselt die Rollen zwischen Zuhörer und Sprecher.;Note:Take turns asking questions to each other. Make sure to listen to your partner's answers without interrupting. If they prefer not to answer a question, just move on and pick another card. Remember, no judging or criticizing. Just pay close attention, offer your support, and be empathetic. Don’t forget to switch between being the listener and the speaker.;Observação:Revezem-se fazendo perguntas um ao outro. Não deixe de ouvir as respostas de seu parceiro sem interromper. Se ele preferir não responder a uma pergunta, basta seguir em frente e escolher outro cartão. Lembre-se: nada de julgar ou criticar. Apenas preste muita atenção, ofereça seu apoio e seja empático. Não se esqueça de alternar entre ser o ouvinte e o orador.
common.long_text_1;Sie haben alle Sitzungen im Bereich Persönliches Wachstum erfolgreich gemeistert.Nächster Schritt: Freundschaft;You have successfully mastered all sessions in the Personal Growth area.Next Step: Friendship;Vocês dominaram com sucesso todas as sessões da área de Crescimento Pessoal.Próxima etapa: Amizade
common.loveworkz;LOVEWORKZ;LOVEWORKZ;LOVEWORKZ
common.master_next;Meistern Sie jetzt die kommende Challenge, um diese Sitzung erfolgreich abzuschließen. ;Master the upcoming challenge now to successfully complete this session.;Domine o próximo desafio agora para concluir esta sessão com sucesso.
common.mastered_question_part;Du hast den Fragenteil erfolgreich gemeistert. Das war doch gar nicht so schlimm, oder?;You have successfully mastered the question part. Wasn’t that bad, was it?;Você dominou a parte das perguntas com sucesso. Não foi tão ruim, foi?
common.max_length;max. Länge;Max length is;O comprimento máximo é
common.min_length;min. Länge;Min length is;O comprimento mínimo é
common.month;monat;month;mês
common.months;months;months;months
common.my_categories;Meine Kategorien;My categories;Minhas Categorias
common.next_stop;Nächster Halt: Challenges*;Next Stop: Challenges*;Próxima parada: Desafios*
common.next;Nächste;Next;Próxima
common.nice_job;Gute Arbeit.Macht eine kleine Pause und sprecht darüber, was euch gefallen und was euch nicht gefallen hat. Welche Fragen fandet ihr schwierig und welche waren einfach? Warum?;Nice job.Take a little break and talk about what you liked and disliked. Which questions did you find difficult and which were easy? Why?;Bom trabalho.Façam um pequeno intervalo e conversem sobre o que gostaram e o que não gostaram. Quais perguntas você achou difíceis e quais foram fáceis? Por quê?
common.nice_work_keep_going;Gute Arbeit! Weiter so;Nice work! Keep going;Bom trabalho! Continue assim
common.no;Nein;No;Não
common.nope;Nö;Nope;Não
common.noResults;kein Ergebnis;No Results;Sem resultados
common.not_much;Nicht viel;Not much;Pouco
common.not_today;neee nicht heute;naah not today;naah não hoje
common.ok;Ok;Ok;Ok
common.only;nur;only;apenas
common.onto_next;Auf zur Nächsten!;Onto the next!;Vamos para a próxima!
common.package;Paket;package;Pacote
common.popular;sehr beliebt;Popular;muito popular
common.proceed;Weiter;Proceed;Prosseguir
common.profile;Profil;Profile;Perfil
common.save;Sichern;Save;Salvar
common.search;suchen;search;Pesquisa
common.see_all_personal_growth;Alle Sitzungen von Personal Growth anzeigen ;See all sessions of Personal Growth ;Ver todas as sessões de Crescimento pessoal
common.send;Senden;Send;Enviar
common.share_us;erzähle deinen Freunden von uns;share us with ur friends;Compartilhe com seus amigos
common.shared_dreams;Geteilte Träume;Shared Dreams;Sonhos compartilhados
common.show_less;Weniger anzeigen;Show less;Mostrar menos
common.show_me_the_book;Zeig mir das Buch?;Show me the book?;Mostra-me o livro?
common.show_more;Mehr anzeigen;Show more;Mostrar mais
common.something_went_wrong_try_again;Da ist etwas schief gelaufen, bitte versuche es zu einem späteren Zeitpunkt erneut.;Something went wrong, please try again later!;Algo de errado, por favor tente novamente mais tarde!
common.special_offer;Sonderangebot, wenn Sie jetzt LoveWorkz Premium abonnieren;Special offer when you subscribe to LoveWorkz Premium;Oferta especial ao assinar o LoveWorkz Premium
common.start_game;Spiel beginnen;Start Game;Começar o jogo
common.starter;Starter;Starter;Iniciante
common.swipe_next_got_this;Ihr habt's drauf! Einfach weiterwischen;You’ve got this! Swipe for the next one;Você conseguiu! Passe o dedo para a próxima
common.swipe_to_proceed;Einfach weiterwischen;Swipe to proceed;Deslize para continuar
common.tell_us_improve;Sagt uns, was wir verbessern können / Habt Ihr Ideen für eine Challenge?;Tell us what we can improve / Do you have an idea for a challenge?;Diga-nos o que podemos melhorar / Vocês têm ideias para um desafio?
common.title;Titel;title;Título
common.to_get_known_deeper_level;um Sie auf einer tieferen Ebene kennenzulernen;to get to know you on a deeper level;Para te conhecer em um nível mais profundo
common.topics;Topics;Topics;Topics
common.trending_challenges;Challenges im Trend;Trending challenges;Desafios de tendências
common.trending_topics;Themen im Trend;Trending topics;Tópicos de tendência
common.we_are_ready;Wir sind bereit, legen wir los!;We’re ready. Let’s do it!;Estamos prontos. Vamos lá!
common.well_done;Gut gemacht!;Well Done!;Muito bem!
common.year;jahr;year;ano
common.yes;Ja;Yes;Sim
common.you_are_offline;You are offline;You are offline;You are offline
common.you_have_finished_basic_level;Sie haben alle Sitzungen im Bereich Persönliches Wachstum erfolgreich gemeistert.;You’ve finished Starter level. Next Step -> Basic Level.;Vocês concluíram o nível Starter. Próxima etapa -> Nível básico.
common.you;Sie;You;Você
common.your_journey_starts_here;Beginnt Eure Ihre Reise jetzt!;Your journey starts here;Comece sua jornada agora!
common.youre_great_proceed;Ihr seit großartig! Macht weiter so.;You’re great! Proceed;Você é ótimo! Continue
common.youre_todays_challenge;Eure heutige Challenge;Your today’s challenge;Sua desafio do dia
error.title;There's been an error. Please try again later;There’s been an error. Please try again later;There's been an error. Please try again later
favorites.title;Meine favoriten;My favourites;Meus favoritos
home.current_level;Dein derzeitiges Intimitäts-Level;Your current intimacy level:;Seu nível atual de intimidade
home.quick_start;Starte erneut durch;Quick Start;Início rápido
home.see_all;alle entdecken;See all;Ver tudo
home.start_game;Spiel beginnen:;Start Game:;Começar o jogo:
home.welcome_back;Willkommen zurück;Welcome back,;Bem-vindo de volta
myRelationship.1_kid;1 Kind;1 kid;1 filho
myRelationship.2_kids_more;2 Kinder & mehr;2 kids & more;2 filhos ou mais
myRelationship.both_of_us;Wir beide;Both of us;Nós dois
myRelationship.civil_partnership;Eingetragene Lebenspartnerschaft;Civil Partnership;União Estável
myRelationship.do_you_have_kids;Haben Sie Kinder?;Do you have kids?;Você tem filhos?
myRelationship.do_you_live_together;Leben Sie zusammen?;Do you live together?;Vocês moram juntos?
myRelationship.engaged;Verlobt;Engaged;Noivado
myRelationship.in_a_relatioship;In einer Beziehung;In a relatioship;Em um relacionamento
myRelationship.married;Verheiratet;Married;Casado
myRelationship.no;Nein;No;Não
myRelationship.one_of_us;Einer von uns;One of us;Um de nós
myRelationship.part_time;Teilzeit;Part-time;Meio período
myRelationship.relationship_status_title;Beziehungs-Status;Relationship Status;Status de Relacionamento
myRelationship.relationship_status;Beziehungsstatus;Relationship status;Estado civil
myRelationship.status_label;Wie ist Ihr Beziehungsstatus?;What’s your relationship status?;Qual é o seu estado civil?
myRelationship.We_live_separately;Wir leben getrennt;We live separately;Nós moramos separados
myRelationship.We_live_together;Wir leben zusammen;We live together;Nós moramos juntos
notifications.daily_quotes_description;Tägliche Zitate aus unserer empfohlenen Literatur und führenden Therapeuten.;Daily quotes out of our recommended literature and leading therapists.;Citações diárias de nossa literatura recomendada e terapeutas líderes.
notifications.daily_quotes;Tägliche Zitate;Daily Quotes;Citações Diárias
notifications.news_more_description;Neue Funktionen und Produktaktualisierungen;New features and product updates;Novos recursos e atualizações de produto
notifications.news_more;Nachrichten & Mehr;News & More;Notícias & Mais
notifications.newsletter_description;Exklusive Inhalte zu Beziehungen, gesunde Routinen und Ideen für Dates, Aktivitäten usw., Literatur und führende Therapeuten.;Exclusive relationship content, healthy routines and ideas about dates, activities etc. literature and leading therapists.;Conteúdo exclusivo sobre relacionamentos, rotinas saudáveis e ideias para encontros, atividades etc., literatura e principais terapeutas.
notifications.newsletter;Newsletter;Newsletter;Newsletter
notifications.promotions_description;Unsere besten Angebote & Rabatte auf Spezialaktionen und LoveWorkz Premium.;Our best offers & Discounts on Specials and LoveWorkz Premium;Nossas melhores ofertas e descontos em especiais e LoveWorkz Premium.
notifications.promotions;Promotionen;Promotions;Promoções
notifications.title;Benachrichtigungseinstellungen;Notification preferences;Preferências de Notificação
onboarding.goal.description;Wohin sollen wir Sie begleiten?;Where shall we accompany you?;Aonde devemos acompanhar você?
onboarding.notification.allow_notifications;Benachrichtigungen zulassen;Allow notifications;Permitir notificações
onboarding.notification.description;Unsere Benachrichtigung werden euch helfen, den Kurs zu halten!;Our notification will help you to keep the course! ;Nossa notificação o ajudará a manter o curso!
onboarding.notification.description2;Der Lauf der wahren Liebe verlief nie glatt;The course of true love never did run smooth;O curso do amor verdadeiro nunca foi suave
onboarding.notification.description3;William Shakespeare;William Shakespeare;William Shakespeare
onboarding.notification.perhaps_later;Vielleicht später;Perhaps later;Talvez mais tarde
onboarding.statistic.description_10;Ich wünschte, ich hätte die Dinge, die ich hier gelernt habe, schon vorher gewusst. Mein Mann und ich lieben unsere kleinen Sitzungen.;I wish i would have known the things i have learned here before. My husband and me are loving our little sessions.;Eu gostaria de ter sabido antes as coisas que aprendi aqui. Meu marido e eu estamos adorando nossas pequenas sessões.
onboarding.statistic.description_11;Seit wir diese App haben, sind meine Freundin und ich auf einem ganz neuen Level. Unsere Gespräche, haben sich verändert. Wir verstehen uns jetzt wirklich. Es ist, als ob wir wiederentdecken, warum wir uns überhaupt ineinander verliebt haben.;Since we got this app, my girlfriend and I are on a whole new level. Our talks, have changed. We really get each other now. It's like we're rediscovering why we fell for each other in the first place.;Desde que adquirimos esse aplicativo, minha namorada e eu estamos em um nível totalmente novo. Nossas conversas mudaram. Nós realmente nos entendemos agora. É como se estivéssemos redescobrindo por que nos apaixonamos um pelo outro em primeiro lugar.
onboarding.statistic.description_12;Gott, wir hatten wirklich keine Ahnung, wie man eine erfolgreiche und glückliche Beziehung aufbaut. Ich fühle mich so viel mehr geliebt und geschätzt, seit wir diese App benutzen.;God, we really had no idea how to build a successful and happy relationship. I feel so much more loved and appreciated since we started using this app.;Meu Deus, nós realmente não tínhamos ideia de como construir um relacionamento bem-sucedido e feliz. Comecei a me sentir muito mais amada e valorizada desde que começamos a usar esse aplicativo.
onboarding.statistic.description_13;Ich habe mich meinem Partner noch nie so nah gefühlt, seit wir diese App benutzen. Wir reden tatsächlich miteinander und verstehen uns.;I've never felt so close to my partner since we started using this app. We actually talk to each other and understand each other.;Nunca me senti tão próximo do meu parceiro desde que começamos a usar esse aplicativo. Estamos realmente conversando e entendendo um ao outro.
onboarding.statistic.description_14;9/10 Personen spüren eine positive Veränderung in ihrer Beziehung;9/10 people feel a positive influence in their relationship;9/10 pessoas sentem uma influência positiva em seus relacionamentos
onboarding.statistic.playful_effective;Spielerisch & effektiv;Playful & effective;Lúdico e eficaz
onboarding.statistic.screen_1_description;Eure 4 Schritte zu einem besseren Selbstverständnis und einer besseren Beziehung;Your 4 steps to better self understanding and better relationships;Suas 4 etapas para um melhor entendimento de si mesmo e melhores relacionamentos
onboarding.statistic.screen_2_description;7/10 Menschen sind mit ihren Beziehungen oder ihrem Liebesleben nicht zufrieden.;7/10 people are not happy with their relationships or love life.;7/10 pessoas não estão felizes com seus relacionamentos ou vida amorosa.
onboarding.statistic.screen_3_description;Aber für 96 % sind glückliche und verlässliche Beziehungen das Wichtigste im Leben.;But for 96%, happy & reliable relationships are the most important things in life.;Mas para 96%, relacionamentos felizes e confiáveis são a coisa mais importante da vida.
onboarding.statistic.screen_4_description;Die einzige App, die Ihr für eine positive Veränderungen braucht.;The only App you will need for positive change.;O único aplicativo de que você precisará para uma mudança positiva.
onboarding.statistic.screen_4_description2;spüren den positiven Einfluss in ihrer Beziehung;feel the positive influence in their relationship;sentem a influência positiva em seu relacionamento
onboarding.welcome.description;Erlebt mit uns eine neue, revolutionäre, leichte & spielerische Reise zu mehr Nähe und Intimität in Ihrer Beziehung;Experience with us a new, revolutionary, easy & playfully journey to more closeness and intimacy in your relationship;onboarding.welcome.description, 23 missing translation
onboarding.welcome.title;Schön, dass du hier bist!;Good, that you are here!;Que bom que você está aqui!
partner.description;Geben Sie die E-Mail Ihres Partners ein, um ihn/sie einzuladen, sich Ihnen in Loveworkz anzuschließen.;Enter your partner’s email to invite to join you in Loveworkz;Insira o e-mail do seu parceiro para convidá-lo a se juntar a você no Loveworkz.
partner.enter_partner_email;Geben Sie die E-Mail Ihres Partners ein;Enter your partner’s email;Insira o e-mail do seu parceiro
partner.partner_email_title;Die E-Mail Ihres Partners;Your partner’s email;O e-mail do seu parceiro
profile.add_partner;Partner hinzufügen;Add Partner;Adicionar parceiro
profile.boost_intimacy;mehr Intimität & besserer;Boost Intimacy & improve sex;Mais intimidade e melhor
profile.build_meaning_and_dreams;Sinn und Träume schaffen;Build meaning and dreams;Construa significado e sonhos
profile.closer_relationship_with_family;Gemeinsame Ziele und Träume bilden;Closer relationship with family and friends;Relacionamento mais próximo com a família e os amigos
profile.closer_relationship;Engere Beziehung zu Familie und Freunden;Build meaning and dreams;Construção de metas e sonhos comuns
profile.communication;ich möchte unsere Kommunikation verbessern;Improve our Communication;Melhorar a nossa comunicação
profile.conlfict_management;Ich möchte unsere Streitkultur verbessern.;Conlfict management;Aprender a lidar com conflitos
profile.country;Land;Country;País
profile.create_safe_attachment;tiefere Verbundenheit;Create a save attachment;Criar ligação segura
profile.date_of_birth;Geburtsdatum;Date of Birth;Data de Nascimento
profile.enter_age;Bitte Alter eingeben;Enter Age;Inserir idade
profile.enter_name;Bitte Namen eingeben;Enter Name;Insira o nome
profile.feeling_better;Mehr Verbundenheit & stärkere Bindung schaffen;Feeling better connected & create safe attachment;Criar mais conexões e vínculos mais fortes
profile.female;Weiblich;Female;Feminino
profile.gender;Geschlecht;Gender;Gênero
profile.i_am_here_just_for_fun;Ich will Spaß haben;I am here to have fun;Estou aqui para me divertir
profile.increase_appreciation_and_respect;Ich möchte mehr Wertschätzung und Respekt;Appreciation and respect;Aumentar a apreço e o respeito
profile.increase_intimacy_level;Ich möchte eine höhere Intimität ;I want to improve our intimacy level.;Quero melhorar o nosso nível de relacionamento
profile.increase_mutual_understanding;Erhöhtes Verständnis, Wertschätzung und Respekt;Increase mutual understanding, appreciation & respect;Aumento da compreensão, apreciação e respeito
profile.less_conflicts;Weniger Konflikte;Less Conflicts;Menos conflitos
profile.male;Männlich;Male;Masculino
profile.manage_finances;Finanzen besser managen;Manage couple finances better;Gerenciar melhor as finanças
profile.more_fun;Mehr Spaß und Aufregung;More fun and excitement;Mais diversão e entusiasmo
profile.name;Name;Name;Nome
profile.non_binary;Nichtbinär;Non-Binary;Não binário
profile.other;Andere;Other;Outro
profile.partner;Partner;Partner;Parceiro
profile.playfull_effective;Spielerisch & effektiv;Playfull & effective;Lúdico e eficaz
