settings.english;;Deutsch;English;Português 
auth.email;;E-Mail;E-Mail;e-mail
auth.username;Start Screen/Login/Signin;Benutzer-Name;Username;Nome do usuário
auth.password;Start Screen/Login/Signin;Passwort;Password;Senha
auth.repeat_password;Start Screen/Login/Signin;Passwort wiederholen;Repeat Password;Repetir Senha
auth.enter_email;;;Enter Email;
auth.enter_password;;;Enter Password;
auth.or;;;Or;
auth.continue_google;Start Screen/Login/Signin;Weiter mit Google;Continue with Google;Continuar com Google
auth.delete_your_account_description;;;You will lose all your progress and data.;
auth.continue_apple;Start Screen/Login/Signin;Weiter mit Apple;Continue with Apple;Continuar com Apple
auth.delete_my_account;;;Delete my account;
auth.agree_with;Start Screen/Login/Signin;Es gelten unsere Allgemeinen Geschäftsbedingungen. Unsere Datenschutzerklärung finden sie hier.;I agree with the terms of Use & Provacy Policy;Concordo com os termos da Política de Uso e Privacidade
auth.terms_of_policy;;;Terms of Use & Provacy Policy;
auth.signup;Start Screen/Login/Signin;Anmeldung;Sign Up;Inscreva-se
auth.already_have_an_account;Start Screen/Login/Signin;Sie haben bereits ein Konto.;Already have an account?;Já tem uma conta?
auth.enter_your_email_to_get_the_reset_link;;;Enter your email to get the reset link;
auth.login;Start Screen/Login/Signin;Einloggen;Log In;Iniciar Sessão
auth.check_your_email;;;Check your email;
auth.forgot_password;;;Forgot password?;
auth.dont_have_an_acount;Start Screen/Login/Signin;Sie haben noch kein Konto?;Dont have an account?;Não tem uma conta?
onboarding.welcome.title;Welcome;Schön, dass du hier bist!;Good, that you are here!;Que bom que você está aqui!
onboarding.welcome.description;welcome;Erlebt mit uns eine neue, revolutionäre, leichte & spielerische Reise zu mehr Nähe und Intimität in Ihrer Beziehung;Experience with us a new, revolutionary, easy & playfully journey to more closeness and intimacy in your relationship;
auth.already_have_an_account;;Sie haben bereits ein Konto? Einloggen;Already have an account?;Já tem uma conta? Iniciar Sessão
common.lets_do_this;;Los geht’s!;Let’s do this;Vamos!
profile.self_reflection;Goals;Selbstreflexion;Self-Reflection;Autorreflexão
profile.increase_mutual_understanding;Goals;Erhöhtes Verständnis, Wertschätzung und Respekt;Increase mutual understanding, appreciation & respect;Aumento da compreensão, apreciação e respeito
profile.feeling_better;Goals;Mehr Verbundenheit & stärkere Bindung schaffen;Feeling better connected & create safe attachment;Criar mais conexões e vínculos mais fortes
profile_less_conflicts;Goals;Weniger Konflikte;Less Conflicts;Menos conflitos
profile_boost_intimacy;Goals;mehr Intimität & besserer;Boost Intimacy & improve sex;Mais intimidade e melhor
profile.communication;Goals;Bessere Kommunikation;Improve our Communication;Melhor comunicação
profile.more_fun;Goals;Mehr Spaß und Aufregung;More fun and excitement;Mais diversão e entusiasmo
profile.manage_finances;Goals;Finanzen besser managen;Manage couple finances better;Gerenciar melhor as finanças
profile.closer_relationship;Goals;Engere Beziehung zu Familie und Freunden;Closer relationship with family and friends;Relacionamento mais próximo com a família e os amigos
profile.closer_relationship;Goals;Gemeinsame Ziele und Träume bilden;Build meaning and dreams;Construção de metas e sonhos comuns
common.proceed;;Weiter;Proceed;Prosseguir
onboarding.notification.description;Notifcations;Unsere Benachrichtigung werden euch helfen, den Kurs zu halten!;Our notification will help you to keep the course! ;Nossa notificação o ajudará a manter o curso! 
onboarding.notification.description2;Notifcations;Der Lauf der wahren Liebe verlief nie glatt;The course of true love never did run smooth;O curso do amor verdadeiro nunca foi suave
onboarding.notification.perhaps_later;Notifcations;Vielleicht später;Perhaps later;Talvez mais tarde
onboarding.notification.allow_notifications;Notifcations;Benachrichtigungen zulassen;Allow notifications;Permitir notificações
profile_playfull_effective;Statistic;Spielerisch & effektiv;Playfull & effective;Lúdico e eficaz
onboarding.statistic.screen_1_description;Statistic;Eure 4 Schritte zu einem besseren Selbstverständnis und einer besseren Beziehung;Your 4 steps to better self understanding and better relationships;Suas 4 etapas para um melhor entendimento de si mesmo e melhores relacionamentos
onboarding.statistic.screen_2_description;Statistic;7/10 Menschen sind mit ihren Beziehungen oder ihrem Liebesleben nicht zufrieden.;7/10 people are not happy with their relationships or love life.;7/10 pessoas não estão felizes com seus relacionamentos ou vida amorosa.
onboarding.statistic.description_10;Statistic;Ich wünschte, ich hätte die Dinge, die ich hier gelernt habe, schon vorher gewusst. Mein Mann und ich lieben unsere kleinen Sitzungen.;I wish i would have known the things i have learned here before. My husband and me are loving our little sessions.;Eu gostaria de ter sabido antes as coisas que aprendi aqui. Meu marido e eu estamos adorando nossas pequenas sessões.
onboarding.statistic.description_11;Statistic;Seit wir diese App haben, sind meine Freundin und ich auf einem ganz neuen Level. Unsere Gespräche, haben sich verändert. Wir verstehen uns jetzt wirklich. Es ist, als ob wir wiederentdecken, warum wir uns überhaupt ineinander verliebt haben.;Since we got this app, my girlfriend and I are on a whole new level. Our talks, have changed. We really get each other now. It's like we're rediscovering why we fell for each other in the first place.;Desde que adquirimos esse aplicativo, minha namorada e eu estamos em um nível totalmente novo. Nossas conversas mudaram. Nós realmente nos entendemos agora. É como se estivéssemos redescobrindo por que nos apaixonamos um pelo outro em primeiro lugar.
onboarding.statistic.description_12;Statistic;Gott, wir hatten wirklich keine Ahnung, wie man eine erfolgreiche und glückliche Beziehung aufbaut. Ich fühle mich so viel mehr geliebt und geschätzt, seit wir diese App benutzen.;God, we really had no idea how to build a successful and happy relationship. I feel so much more loved and appreciated since we started using this app.;Meu Deus, nós realmente não tínhamos ideia de como construir um relacionamento bem-sucedido e feliz. Comecei a me sentir muito mais amada e valorizada desde que começamos a usar esse aplicativo.
onboarding.statistic.description_13;Statistic;Ich habe mich meinem Partner noch nie so nah gefühlt, seit wir diese App benutzen. Wir reden tatsächlich miteinander und verstehen uns.;I've never felt so close to my partner since we started using this app. We actually talk to each other and understand each other.;Nunca me senti tão próximo do meu parceiro desde que começamos a usar esse aplicativo. Estamos realmente conversando e entendendo um ao outro.
onboarding.statistic.screen_3_description;Statistic;Aber für 96 % sind glückliche und verlässliche Beziehungen das Wichtigste im Leben.;But for 96%, happy & reliable relationships are the most important things in life.;Mas para 96%, relacionamentos felizes e confiáveis são a coisa mais importante da vida.
onboarding.statistic.screen_4_description;Statistic;Die einzige App, die Ihr für eine positive Veränderungen braucht.;The only App you will need for positive change.;O único aplicativo de que você precisará para uma mudança positiva.
onboarding.statistic.description_14;Statistic;9/10 Personen spüren eine positive Veränderung in ihrer Beziehung;9/10 people feel a positive influence in their relationship;9/10 pessoas sentem uma influência positiva em seus relacionamentos
common.lets_start;Statistic;Lass loslegen;Let’s Start;Vamos começar
auth.already_have_an_account;Start Screen/Login/Signin;Sie haben bereits ein Konto.;Already have an account?;Já tem uma conta?
auth.login;Start Screen/Login/Signin;Einloggen;Log In;Iniciar Sessão
auth.dont_have_an_acount;Start Screen/Login/Signin;Sie haben noch kein Konto?;Dont have an account?;Não tem uma conta?
quotes.quote_of_the_day;Quote of the day;Zitat des Tages;Quote of the day;Citação do dia
quotes.show_me_book;Quote of the day;Zeig mir das Buch.;Let me see the book.;Deixe-me ver o livro.
common.dont_show_again;Quote of the day;Nicht mehr zeigen;Don’t Show Again;Não mostrar novamente
profile.name;Profil;Name;Name;Nome
common.age;Profil;Alter;Age;Idade
profile.country;Profil;Land;Country;País
myRelationship.relationship_status_title;Profil;Beziehungs-Status;Relationship Status;Status de Relacionamento
profile.preferences;Profil;Präferenzen;Preferences;Preferências
profile.i_am_here_just_for_fun;Profil;Ich will Spaß haben;I am here to have fun;Estou aqui para me divertir
profile.increase_intimacy_level;Profil;Ich möchte eine höhere Intimität ;I want to improve our intimacy level.;Quero melhorar o nosso nível de relacionamento
profile.increase_appreciation_and_respect;Profil;Ich möchte mehr Wertschätzung und Respekt;Appreciation and respect;Aumentar a apreço e o respeito
profile.conlfict_management;Profil;Ich möchte unsere Streitkultur verbessern.;Conlfict management;Aprender a lidar com conflitos
profile.communication;Profil;ich möchte unsere Kommunikation verbessern;Improve our Communication;Melhorar a nossa comunicação
profile.self_reflection;Profil;Selbstreflektion;Self-reflection;Autorreflexão
profile.create_safe_attachment;Profil;tiefere Verbundenheit;Create a save attachment;Criar ligação segura
upload.change_photo;Profil;Foto bearbeiten;Change Photo;Alterar foto
profile.save_changes;Profil;Änderungen speichern;Save changes;Savar alterações
common.save;Profil;speichern;Save;Salvar
upload.change_profile_photo;Profil;Profil-Foto ändern;Change profil photo;Alterar foto do perfil
upload.open_gallery;Profil;Galerie öffnen;Open gallery;Galeria aberta
upload.delete_photo;Profil;Foto löschen;Delete Photo;Apagar foto
upload.take_photo;Profil;Foto aufnehmen;take photo;Tirar foto
common.first_start;Homepage - First Start;Start;First Start;Primeiro início
common.your_journey_starts_here;Homepage - First Start;Beginnt Eure Ihre Reise jetzt!;Your journey starts here;Comece sua jornada agora!
common.lets_dive_into_session;;Lasst und gleich in Eure erste Sitzung eintauchen.;Let’s dive into your first session;Vamos nos aprofundar em sua primeira sessão
common.special_offer;;Sonderangebot, wenn Sie jetzt LoveWorkz Premium abonnieren;Special offer when you subscribe to LoveWorkz Premium;Oferta especial ao assinar o LoveWorkz Premium
common.explore_more;;Wollt ihr mehr tun?;Want to explore more?;Quer fazer mais?
common.trending_topics;;Themen im Trend;Trending topics;Tópicos de tendência
common.trending_challenges;;Challenges im Trend;Trending challenges;Desafios de tendências
sessions.todaysSession;Pre - session;Heutige Sitzung;Today’s session;Sessão do dia
common.see_all_personal_growth;Pre - session;Alle Sitzungen von Personal Growth anzeigen ;See all sessions of Personal Growth ;Ver todas as sessões de Crescimento pessoal 
common.collapse;Pre - session;Einklappen;Collapse;Colapso
questions.questions;Pre - session;Fragen;Questions;Perguntas
common.challenge;Pre - session;Challenge;Challenge;Desafio
common.begin_session;Pre - session;Sitzung Beginnen;Begin Session;Iniciar sessão
common.how_are_we_today;Pre - session;Wie geht es uns heute?;How are we today?;Como estamos hoje?
common.long_question_1;Session;Von 10 (ich fühle mich großartig) bis 1 (lass mich in Ruhe). Für alles unterhalb von 7: Gönn dir eine Pause und verschiebe die Sitzung auf einen anderen Tag. PS: Schalte dein Handy in den Flugmodus, um Ablenkungen zu vermeiden.;From 10 (I feel great) to 1 (leave me alone). For anything below 7: give yourself a break and postpone the session to another day. PS: Switch your cell phone to airplane mode to avoid distractions.;De 10 (estou me sentindo ótimo) a 1 (deixe-me em paz). Para qualquer coisa abaixo de 7: dê um tempo a si mesmo e adie a sessão para outro dia. PS: Coloque seu celular no modo avião para evitar distrações.
common.long_question_2;Session;Hinweis:Wechselt euch beim Stellen von Fragen an euren Partner ab und hört zu, ohne zu unterbrechen. Wenn dein Partner/in eine Frage nicht beantworten möchte, zieht einfach eine andere Karte. Kein Urteilen oder Kritisieren, hört genau zu und seid unterstützend und zeigt Empathie. Wechselt die Rollen zwischen Zuhörer und Sprecher.;Note:Take turns asking questions to each other. Make sure to listen to your partner's answers without interrupting. If they prefer not to answer a question, just move on and pick another card. Remember, no judging or criticizing. Just pay close attention, offer your support, and be empathetic. Don’t forget to switch between being the listener and the speaker.;Observação:Revezem-se fazendo perguntas um ao outro. Não deixe de ouvir as respostas de seu parceiro sem interromper. Se ele preferir não responder a uma pergunta, basta seguir em frente e escolher outro cartão. Lembre-se: nada de julgar ou criticar. Apenas preste muita atenção, ofereça seu apoio e seja empático. Não se esqueça de alternar entre ser o ouvinte e o orador.
common.not_today;Session;neee nicht heute;naah not today;naah não hoje
common.amazing_do_this;Session;Cool, legen wir los;Amazing, lets do it;Incrível, vamos lá
common.swipe_to_proceed;Session;Einfach weiterwischen;Swipe to proceed;Deslize para continuar
common.doing_great_proceed;Session;Ihr macht das großartig! Weitermachen;You’re doing great! Proceed;Você está indo muito bem! Prossiga
common.nice_work_keep_going;Session;Gute Arbeit! Weiter so;Nice work! Keep going;Bom trabalho! Continue assim
common.onto_next;Session;Auf zur Nächsten!;Onto the next!;Vamos para a próxima!
common.swipe_next_got_this;Session;Ihr habt's drauf! Einfach weiterwischen;You’ve got this! Swipe for the next one;Você conseguiu! Passe o dedo para a próxima
common.acing_this_next_question;Session;Gut gemeistert! Nächste Frage wartet schon;You’re acing this! Next question awaits;Você está ganhando esta! A próxima pergunta o aguarda
common.youre_great_proceed;Session;Ihr seit großartig! Macht weiter so.;You’re great! Proceed;Você é ótimo! Continue
common.well_done;Break;Gut gemacht!;Well Done!;Muito bem!
common.mastered_question_part;Break;Du hast den Fragenteil erfolgreich gemeistert. Das war doch gar nicht so schlimm, oder?;You have successfully mastered the question part. Wasn’t that bad, was it?;Você dominou a parte das perguntas com sucesso. Não foi tão ruim, foi?
common.master_next;Break;Meistern Sie jetzt die kommende Challenge, um diese Sitzung erfolgreich abzuschließen. ;Master the upcoming challenge now to successfully complete this session.;Domine o próximo desafio agora para concluir esta sessão com sucesso. 
common.lets_do_this_challenge;Break;Auf geht's zu dieser Herausforderung;Let’s do this challenge;Vamos fazer esse desafio
common.nice_job;Break-Pop-Up;Gute Arbeit.Macht eine kleine Pause und sprecht darüber, was euch gefallen und was euch nicht gefallen hat. Welche Fragen fandet ihr schwierig und welche waren einfach? Warum?;Nice job.Take a little break and talk about what you liked and disliked. Which questions did you find difficult and which were easy? Why?;Bom trabalho.Façam um pequeno intervalo e conversem sobre o que gostaram e o que não gostaram. Quais perguntas você achou difíceis e quais foram fáceis? Por quê?
common.next_stop;Break-Pop-Up;Nächster Halt: Challenges*;Next Stop: Challenges*;Próxima parada: Desafios*
common._each_session;Break-Pop-Up;*Jede Sitzung schliesst mit einer Challenge ab, betrachtet Sie als eine Art Hausaufgabe oder als ein neues Werkzeug, dass ihr in Zukunft benutzen könnt.;*Each session concludes with a challenge, think of it as a homework assignment or a new tool you can use in the future.;*Cada sessão termina com um desafio, pense nele como uma tarefa de casa ou uma nova ferramenta que você poderá usar no futuro.
common.youre_todays_challenge;Intro Challenge;Eure heutige Challenge;Your today’s challenge;Sua desafio do dia
common.challenge_background;Intro Challenge;Hintergund zur Challenge;Challenge background;Contexto do desafio
common.we_are_ready;Intro Challenge;Wir sind bereit, legen wir los!;We’re ready. Let’s do it!;Estamos prontos. Vamos lá!
common.fantastic;Session End;Fantastisch!;Fantastic!;Fantástico!
common.finished_1_5;Session End;Ihr habt Eure 1. von 5 Sitzungen im Level Basic abgeschlossen;You’ve finished your 1st of 5 sessions in the Basic level;Vocês concluíram a primeira das 5 sessões do nível Básico.
common.did_you_find_question;Session End;Fandet Ihr die Fragen relevant für Eure Beziehung? ;Did you find the Questions relevant to your relationship?;Acharam as perguntas relevantes para o relacionamento de vocês?
common.nope;Session End;Nö;Nope;Não
common.yes;Session End;Ja;Yes;Sim
common.how_difficult_would_you_rate;Session End;Wie schwierig würdet Ihr die Fragen in dieser Sitzung einstufen?;How difficult would you rate the Questions in this session?;Qual o grau de dificuldade que vocês classificariam para as perguntas desta sessão?
common.easy;Session End;Leicht;Easy;Fácil
common.difficult;Session End;Schwierig;Difficult;Difíceis
common.how_much_do_you_thing_challenge;Session End;Wie sehr glaubt Ihr, dass diese Challenge Euch in Zukunft helfen wird?;How much do you think this Challenge will help you in future?;O quanto vocês acham que esse desafio ajudará vocês no futuro?
common.not_much;Session End;Nicht viel;Not much;Pouco
common.a_lot;Session End;Sehr viel;A lot;Muito
common.how_much_enjoy_session;Session End;Wie sehr hat Euch die gesamte Sitzung gefallen?;How much did you enjoy the whole Session?;O quanto vocês gostaram da sessão inteira?
common.hated_it;Session End;Wir haben es gehasst;Hated it;Odiei
common.tell_us_improve;Session End;Sagt uns, was wir verbessern können / Habt Ihr Ideen für eine Challenge?;Tell us what we can improve / Do you have an idea for a challenge?;Diga-nos o que podemos melhorar / Vocês têm ideias para um desafio?
common.any_proposition;Session End;Mit Vorschlägen oder echtem Feedback können wir das Erlebnis für Euch noch besser machen;Any propositions or your genuine feedback will allow us to make the experience even better for you;Com sugestões ou feedback real, podemos tornar a experiência ainda melhor para vocês.
common.send;Session End;Senden;Send;Enviar
rubricFilterItem.personal_growth;Quadrant End;Selbstentfaltung;Personal Growth;Crescimento pessoal
rubricFilterItem.friendship;Quadrant End;Freundschaft;Friendship;Amizade
common.communication_and_resolution;Quadrant End;Kommunikation & Konfliktbewältigung;Communication & Conflict resolution;Comunicação e resolução de conflitos
common.shared_dreams;Quadrant End;Geteilte Träume;Shared Dreams;Sonhos compartilhados
questions.great_job;Quadrant End;Toller Job!;Great Job!;Ótimo trabalho!
common.long_text_1;Quadrant End;Sie haben alle Sitzungen im Bereich Persönliches Wachstum erfolgreich gemeistert.Nächster Schritt: Freundschaft;You have successfully mastered all sessions in the Personal Growth area.Next Step: Friendship;Vocês dominaram com sucesso todas as sessões da área de Crescimento Pessoal.Próxima etapa: Amizade
common.yes;Quadrant End;Ja;Yes;Sim
common.how_much_enjoy_quadrant;Quadrant End;Wie sehr hat Euch der gesamte Quadrant gefallen?;How much did you enjoy the whole Quadrant?;O quanto vocês gostaram de todo o Quadrante?
common.send;Quadrant End;Senden;Send;Enviar
questions.great_job;Level End;Toller Job!;Great Job!;Ótimo trabalho!
common.you_have_finished_basic_level;Level End;Sie haben alle Sitzungen im Bereich Persönliches Wachstum erfolgreich gemeistert.;You’ve finished Starter level.  Next Step -> Basic Level.;Vocês concluíram o nível Starter.  Próxima etapa -> Nível básico.
common.how_much_enjoy_level;Level End;Wie sehr hat Euch das gesamte Level gefallen?;How much did you enjoy the whole Level?;O quanto vocês gostaram do nível inteiro?
common.send;Level End;Senden;Send;Enviar
home.current_level;Homepage;Dein derzeitiges Intimitäts-Level;Your current intimacy level:;Seu nível atual de intimidade
home.welcome_back;Homepage;Willkommen zurück;Welcome back,;Bem-vindo de volta
common.continue_where_you_left;Homepage;Weiterspielen, wo wir aufgehört haben;Continue where you left off;Continue de onde você parou
common.intimacy_level;Homepage;Intimitäts-Level;Intimacy level;Nível de intimidade
common.starter;Homepage;Starter;Starter;Iniciante
common.basic;Homepage;Basic;Basic;Básico
common.deep;Homepage;Deep;Deep;Profundo
common.intimate;Homepage;Intim ;Intimate;Íntimo
common.hot;Homepage;Hot;Hot;Quente
common.all_in_one;Homepage;All in one;all in one;Tudo em um
challenge.specialChallengeTitle;;;Specials;
challenge.tab_special;;;Special;
challenge.title;Homepage;Challenges;Challenges;Desafios
challenge.tab_core;;;Core;
challenge.lockedPopupTitle;;;Sorry, these challenges are still locked;
home.see_all;Homepage;alle entdecken;See all;Ver tudo
common.go_back;Homepage;zurück;Go back;Voltar
settings.language;Settings;Sprache;Language;Idioma
settings.dark_mode;Settings;Dunkel;Dark mode;Modo escuro
common.profile;Settings;Profil;Profile;Perfil
settings.how_to_use;Settings;Wie wird gespielt?;How to use;Como utilizar
settings.about;Settings;Über uns;About;Sobre
settings.contact_us;Settings;Kontakt;Contact us;Contacte-nos
settings.partners;Settings;Partner;Partners;Parceiros
settings.privacy_policy;Settings;allgemeine Geschäftsbedingungen und Datenschutzerklärung;Terms of use & Privacy Policy;Termos de utilização & Política de Privacidade
settings.german;Settings;Deutsch;german;Alemão
settings.english;Settings;Englisch;english ;Inglês
settings.portuguese;Settings;Portugiesisch;portuguese;Português
upload.change_photo;Settings;Foto ändern;change photo;Alterar foto
auth.change_password;Settings;Passwort ändern;change password;Alterar Senha
auth.current_password;;;Current password;
auth.enter_current_password;Settings;aktuelles Passwort eingeben;enter current password;Inserir senha atual
auth.enter_new_password;Settings;neues Passwort eingeben;enter new password;Inserir nova senha
auth.new_assword;;;New password;
auth.repeat_password;Settings;Passwort wiederholen;repeat password;Repetir senha
auth.repeat_new_password;Settings;neues Passwort wiederholen;repeat new password;Repetir nova senha
common.save;Settings;Sichern;Save;Salvar
settings.contact_us;;Kontakt;Contact us;Contate-nos
common.share_us;;erzähle deinen Freunden von uns;share us with ur friends;Compartilhe com seus amigos
settings.partners;;Partner;Partners;Parceiros
common.about_the_app;;Über die App;About the app;Sobre o aplicativo
auth.logout;;ausloggen;Log Out;Sair
common.cancel;;abbrechen;Cancel;Cancelar
common.my_categories;Categories;Meine Kategorien;My categories;Minhas Categorias
categories.lockPopupTitle;;;Sorry, the category is locked;
categories.lockPopupText;;;In order to unlock the next stage, you need to fully answer and master the questions and challenges in the current step. This approach (4-Steps to Love) is designed to ensure you don’t move forward prematurely, so you can get the maximum therapeutic effect from each stage.;
challenge.lockedPopupText;;;In order to unlock the next stage, you need to fully answer and master the questions and challenges in the current step. This approach (4-Steps to Love) is designed to ensure you don’t move forward prematurely, so you can get the maximum therapeutic effect from each stage.;
common.add_categories;;Kategorie hinzufügen;add categories;Adicionar Categoria
common.to_get_known_deeper_level;;;to get to know you on a deeper level;Para te conhecer em um nível mais profundo
questions.title;questions library;Fragen - Bibliothek;questions library;Biblioteca de perguntas
categories.favourites;questions library;Favoriten;favourites;Favoritos
common.add_category;questions library;Kategorie hinzufügen;add category;Adicionar categoria
categories.categories;questions library;Kategorie;categories;Categorias
common.topics;questions library;Topics;Topics;Topics
rubricFilterItem.Conflict;questions library;Konflikt;Conflict;Conflito
rubricFilterItem.Fun;questions library;Fun;Fun;Diversão
rubricFilterItem.Respect;questions library;Respect;respect;Respeito
common.appreciation;questions library;Wertschätzung;appreciation;Admiração
common.create_new_category;add to favourites;Neue Kategorie hinzufügen;create a new category;Criar uma nova categoria
common.title;add to favourites;Titel;title;Título
common.enter_category_title;add to favourites;Name für Kategorie eingeben;enter a category title;Insira um título de categoria
common.loveworkz;cards;LOVEWORKZ;LOVEWORKZ;LOVEWORKZ
common.continue;cards;weiter;continue;Continuar
questions.wow_that_was_fast;cards;Wow, das ging aber schnell;wow! That was fast;Uau! Isso foi rápido!
questions.remember_it_is_not_a_sprint;cards;Denk daran, das ist ein Marathon und kein Sprint.;Remember it is a marathon not a sprint, so please take your time answering & discussing the questions!;Lembre-se que não se trata de uma maratona e nem uma corrida, por isso, por favor, leve o tempo que precisar para responder e discutir sobre as perguntas!
books.title;books;Literatur;literature;Literatura
books.recommended;books;empfohlen für dich;recommended for you;Recomendado para você
common.search;books;suchen;search;Pesquisa
common.category_1;books;Kategorie;category 1;Categoria 1
common.buy_now;books;Jetzt kaufen;buy now;Comprar agora
shop.header;shop;Erhalten Sie Zugang zu allen Kategorien und Herausforderungen;Get access to all categories and challenges;Tenha acesso a todas as categorias e desafios
common.get_full_access;shop;Holen Sie sich jetzt den vollen Zugang und fangen sie bereits heute an ihr Beziehung zu verbessern.;Get full access now and improve your realtionship starting from today.;Obtenha acesso total agora e melhore seu relacionamento a partir de hoje.
common.buy_now;shop;jetzt kaufen;buy now;Comprar agora
shop.monthly_description;shop;Zugang zu allen Kategorien und Herausforderunge & ohne Werbung;access to all categories and challenges and no ads;acesso a todas as categorias e desafios, sem anúncios
common.get_the_annual_plan;shop;Holen sie sich den jährlichen Zahlungsplan und bekommen sie 12 Monate für den Preis von 10.;Get the annual payment plan and get 12 months for the price of 10.;Adquira o plano de pagamento anual e pague somente por 10 meses!
common.popular;shop;sehr beliebt;popular;muito popular
common.early_bird;shop;early Bird - 30% Rabatt;early Bird - 30% off;Early Bird - 30% de desconto
home.quick_start;Settings;Starte erneut durch;Quick Start;Início rápido
profile.enter_name;Settings;Bitte Namen eingeben;Enter Name;Insira o nome
profile.enter_age;Settings;Bitte Alter eingeben;Enter Age;Inserir idade
common.create_safe_attachment;Settings;stabilere Bindung aufbauen;Create safe attachment;Criar ligação segura
settings.title;Settings;Einstellungen;Settings;Configurações
common.light_mode;Settings;heller Modus;Light mode;Modo de luz
quotes.quote_of_the_day;Settings;Zitat des Tages;Quote of the day;Citação do dia
common.enter_your_data;Settings;bitte gib deine Daten ein;Enter your data;Insira os seus dados
books.books;Settings;Bücher;Books;Livros
books.see_more;Settings;Mehr entdecken;See more;Ver mais
books.description;Settings;Beschreibung;Description;Descrição
common.noResults;Settings;kein Ergebnis;No Results;Sem resultados
common.package;Settings;Paket;package;Pacote                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
common.show_less;Settings;Weniger anzeigen;Show less;Mostrar menos       
common.show_more;Settings;Mehr anzeigen;Show more;Mostrar mais      
common.confirm;Settings;Bitte bestätigen;confirm;Confirmar      
auth.field_is_required;Settings;Bitte Felder ausfüllen;Field is required;O Campo Loja é obrigatório
auth.invalid_email_address;Settings;ungültige Email Adresse;Invalid email address;Endereço de e-mail inválido
auth.incorrect_email_or_password;Settings;Email oder Passwort ungültig;Incorrect email or password;E-mail ou palavra-chave incorretos
common.max_length;Settings;max. Länge;Max length is;O comprimento máximo é
common.min_length;Settings;min. Länge;Min length is;O comprimento mínimo é
auth.invalid_password;Settings;falsches Passwort;Invalid password;Senha inválida
auth.email_is_already_in_use;Settings;Die eingegebene Adresse ist bereits registriert;The email address is already in use by another account;O endereço de e-mail já está sendo utilizado por outra conta
auth.user_not_found;Settings;Benutzername nicht gefunden;User not found;Usuário não encontrado
auth.something_went_wrong;Settings;uups da ist wohl etas falsch gelaufen;Something went wrong;Algo deu errado
auth.invalid_age;Settings;ungültiges Alter;invalid age;Idade inválida
auth.password_must_contain_lowercase;Start Screen/Login/Signin;Passwort muss Großbuchstaben, Kleinbuchstaben, Nummern, Sonderzeichen  (#,$,@,!,_,%,&,*,?) beinhalten und mind. aus 8 Stellen  umfassen.;Password must contain lowercase, uppercase, number, special character (#,$,@,!,_,%,&,*,?) and at least 8 characters in length;A palavra-chave deve conter letras minúsculas, maiúsculas, números, caracteres especiais (#,$,@,!,_,%,&,*,?) e pelo menos 8 caracteres
auth.disabled_account;Start Screen/Login/Signin;Dein Konto wurde deaktiviert, bitte versuche es zu einem späteren Zeitpunkt erneut.;Your account has been disabled, please try again later;A sua conta foi desativada, tente novamente mais tarde
auth.deleted_account;;;Your account has been deleted;
common.something_went_wrong_try_again;Start Screen/Login/Signin;Da ist etwas schief gelaufen, bitte versuche es zu einem späteren Zeitpunkt erneut.;Something went wrong, please try again later!;Algo de errado, por favor tente novamente mais tarde!
common.enter_email_to_reset;Forgot Password;;Enter your email to reset password.;Insira seu e-mail para redefinir sua senha
auth.send_link;Forgot Password;;Send link;Enviar Link
common.show_me_the_book;Quotes of the day;;Show me the book?;Mostra-me o livro?
common.dont_show_again_message;Quotes of the day;;Dont show this message again;Não mostrar esta mensagem novamente
common.delete;Delete Account;;Delete;Excluir
settings.about;Delete Account;;About;Sobre
settings.partners;Delete Account;;Partners;Parceiros
settings.privacy_policy;Delete Account;;Terms of Use & Privacy Policy;Termos de Uso e Política de Privacidade
common.are_you_sure_to_delete_account;Delete Account;;Are you sure, that you want to permanently erase your Account? ;Tem certeza de que deseja apagar permanentemente sua conta? 
auth.delete_your_account;Delete Account;;Delete your account?;Excluir sua conta?
auth.delete_your_account_question;;;Delete your account;
